dataset_name,target_epsilon,accuracy
cifar100,4.856041724899652,0.8317000269889832
cifar100,5.2317533131570695,0.8375999927520752
cifar100,5.6365336791449465,0.8535000085830688
cifar100,6.072631872041288,0.8464999794960022
cifar100,6.5424709497922935,0.8551000356674194
cifar100,7.048661442157817,0.8562999963760376
cifar100,7.5940158553917145,0.8594999313354492
cifar100,8.181564299148176,0.8596000075340271
cifar100,8.814571322440727,0.8731000423431396
cifar100,9.496554052198045,0.8696999549865723
cifar100,10.23130173519855,0.8774999380111694
cifar100,11.022896791962967,0.8716999888420105
cifar100,11.875737499585098,0.8783999681472778
cifar100,12.794562429531425,0.8769000768661499
cifar100,13.784476776191466,0.8868999481201172
cifar100,14.850980722466229,0.8807999491691589
cifar100,16.0,0.8862999677658081
dpdl-benchmark/patch_camelyon,0.01,0.46067100763320923
dpdl-benchmark/patch_camelyon,0.010773699258659447,0.5
dpdl-benchmark/patch_camelyon,0.011607259571603908,0.5
dpdl-benchmark/patch_camelyon,0.01250531238416568,0.4911102056503296
dpdl-benchmark/patch_camelyon,0.013472847476259053,0.5489494800567627
dpdl-benchmark/patch_camelyon,0.014515240686700398,0.5721752643585205
dpdl-benchmark/patch_camelyon,0.015638283782556744,0.5245622396469116
dpdl-benchmark/patch_camelyon,0.016848216639483767,0.5364763736724854
dpdl-benchmark/patch_camelyon,0.018151761911853994,0.5228137969970703
dpdl-benchmark/patch_camelyon,0.019556162385310417,0.5228137969970703
dpdl-benchmark/patch_camelyon,0.021069221219284253,0.6797176599502563
dpdl-benchmark/patch_camelyon,0.022699345303073465,0.6763560771942139
dpdl-benchmark/patch_camelyon,0.02445559196637773,0.6665530800819397
dpdl-benchmark/patch_camelyon,0.02634771930382417,0.6821779608726501
dpdl-benchmark/patch_camelyon,0.02838624039309777,0.7175166606903076
dpdl-benchmark/patch_camelyon,0.030582481707924616,0.7138506174087524
dpdl-benchmark/patch_camelyon,0.03294864605046334,0.7242013812065125
dpdl-benchmark/patch_camelyon,0.03549788035277094,0.750819981098175
dpdl-benchmark/patch_camelyon,0.03824434872406301,0.7561795115470886
dpdl-benchmark/patch_camelyon,0.04120331114963508,0.7538819313049316
dpdl-benchmark/patch_camelyon,0.04439120827871378,0.7561489939689636
dpdl-benchmark/patch_camelyon,0.04782575277233758,0.7428169250488281
dpdl-benchmark/patch_camelyon,0.05152602771881634,0.7428169250488281
dpdl-benchmark/patch_camelyon,0.055512592663587754,0.75748610496521
dpdl-benchmark/patch_camelyon,0.05980759784259593,0.7559031844139099
dpdl-benchmark/patch_camelyon,0.06443490725389782,0.7958581447601318
dpdl-benchmark/patch_camelyon,0.06942023125131089,0.7990051507949829
dpdl-benchmark/patch_camelyon,0.07479126939682151,0.7875484228134155
dpdl-benchmark/patch_camelyon,0.0805778643654735,0.7562839984893799
dpdl-benchmark/patch_camelyon,0.08681216775786633,0.800051212310791
dpdl-benchmark/patch_camelyon,0.09352881874155437,0.768768310546875
dpdl-benchmark/patch_camelyon,0.10076513651391776,0.8048063516616821
dpdl-benchmark/patch_camelyon,0.1085613276558714,0.8038874864578247
dpdl-benchmark/patch_camelyon,0.1169607095285147,0.8054377436637878
dpdl-benchmark/patch_camelyon,0.1260099509539641,0.810356616973877
dpdl-benchmark/patch_camelyon,0.13575933151764366,0.8126895427703857
dpdl-benchmark/patch_camelyon,0.1462630209327739,0.8193389177322388
dpdl-benchmark/patch_camelyon,0.15757938001927174,0.7947906851768494
dpdl-benchmark/patch_camelyon,0.16977128496936428,0.8132784366607666
dpdl-benchmark/patch_camelyon,0.18290647670161017,0.815673291683197
dpdl-benchmark/patch_camelyon,0.1970579372444148,0.805229663848877
dpdl-benchmark/patch_camelyon,0.2123042952403112,0.8217569589614868
dpdl-benchmark/patch_camelyon,0.2287302628240756,0.8183868527412415
dpdl-benchmark/patch_camelyon,0.2464271063020724,0.8158667683601379
dpdl-benchmark/patch_camelyon,0.2654931532480229,0.8090735673904419
dpdl-benchmark/patch_camelyon,0.2860343388327383,0.8277047872543335
dpdl-benchmark/patch_camelyon,0.30816479442334166,0.8340764045715332
dpdl-benchmark/patch_camelyon,0.33200748172236977,0.8328874707221985
dpdl-benchmark/patch_camelyon,0.3576948759701685,0.8210359811782837
dpdl-benchmark/patch_camelyon,0.3853697020066086,0.8303473591804504
dpdl-benchmark/patch_camelyon,0.4151857272818411,0.8306564688682556
dpdl-benchmark/patch_camelyon,0.44730861622223533,0.8378545045852661
dpdl-benchmark/patch_camelyon,0.481916850698548,0.8089895248413086
dpdl-benchmark/patch_camelyon,0.519202721710644,0.8251218795776367
dpdl-benchmark/patch_camelyon,0.5593733977987932,0.8308930993080139
dpdl-benchmark/patch_camelyon,0.6026520761178672,0.799859881401062
dpdl-benchmark/patch_camelyon,0.6492792225700643,0.8303404450416565
dpdl-benchmark/patch_camelyon,0.6995139078866082,0.8246367573738098
dpdl-benchmark/patch_camelyon,0.7536352470819924,0.8320780992507935
dpdl-benchmark/patch_camelyon,0.8119439502786887,0.838187575340271
dpdl-benchmark/patch_camelyon,0.8747639935190532,0.8332462310791016
dpdl-benchmark/patch_camelyon,0.9424444188478197,0.8304334878921509
dpdl-benchmark/patch_camelyon,1.0153612736668485,0.8337448835372925
dpdl-benchmark/patch_camelyon,1.0939197001376042,0.8294686079025269
dpdl-benchmark/patch_camelyon,1.1785561862405467,0.8315126895904541
dpdl-benchmark/patch_camelyon,1.2697409909988278,0.8290077447891235
dpdl-benchmark/patch_camelyon,1.367980757341359,0.8389930725097656
dpdl-benchmark/patch_camelyon,1.4738213271228982,0.8235433101654053
dpdl-benchmark/patch_camelyon,1.5878507739420444,0.8410980105400085
dpdl-benchmark/patch_camelyon,1.7107026706081225,0.8399351835250854
dpdl-benchmark/patch_camelyon,1.8430596094117477,0.8434145450592041
dpdl-benchmark/patch_camelyon,1.9856569947584508,0.8400866985321045
dpdl-benchmark/patch_camelyon,2.139287129238106,0.8401215076446533
dpdl-benchmark/patch_camelyon,2.304803615833227,0.8427116870880127
dpdl-benchmark/patch_camelyon,2.4831261007258063,0.8452188968658447
dpdl-benchmark/patch_camelyon,2.675245383054753,0.8475682735443115
dpdl-benchmark/patch_camelyon,2.8822289200149087,0.8503485918045044
dpdl-benchmark/patch_camelyon,3.105226757885143,0.846799373626709
dpdl-benchmark/patch_camelyon,3.345477921939666,0.8493348956108093
dpdl-benchmark/patch_camelyon,3.6043173007462914,0.8519004583358765
dpdl-benchmark/patch_camelyon,3.8831830631023725,0.8478670120239258
dpdl-benchmark/patch_camelyon,4.183624648818498,0.8460946083068848
dpdl-benchmark/patch_camelyon,4.507311377748522,0.8416985273361206
dpdl-benchmark/patch_camelyon,4.856041724899652,0.8467042446136475
dpdl-benchmark/patch_camelyon,5.2317533131570695,0.8509508371353149
dpdl-benchmark/patch_camelyon,5.6365336791449465,0.8424304723739624
